X,Y,yr,doy,top,bed,thk
-860349.8136607294,-827974.3684254403,2014,84,722.8538,309.8338,413.02
-860359.8310504096,-827985.0790200458,2014,84,724.3881,309.9681,414.42
-860369.7342890754,-827995.5930138865,2014,84,725.9076,310.7776,415.13
-860379.7950112997,-828006.2585894088,2014,84,726.2126,311.7926,414.42
-860389.8701750705,-828016.909162721,2014,84,725.2532,310.8332,414.42
-860399.974232753,-828027.5297164854,2014,84,725.5697,309.7297,415.84
-860410.0139867793,-828038.0594826981,2014,84,727.1322,310.5922,416.54
-860420.1469310999,-828048.6500286374,2014,84,728.7009,312.1609,416.54
-860430.1512786275,-828059.0589844758,2014,84,730.255,312.315,417.94
-860440.3275645454,-828069.6045027295,2014,84,730.5868,311.9268,418.66
-860450.4395494615,-828080.0592307443,2014,84,729.6546,313.1246,416.53
-860460.5804334764,-828090.4839341642,2014,84,730.0095,314.1695,415.84
-860470.8000580947,-828100.9844322619,2014,84,731.6114,314.3614,417.24
-860481.0485832449,-828111.4549044387,2014,84,731.9703,314.0203,417.95
-860491.3260100218,-828121.895349619,2014,84,731.0763,313.1363,417.94
-860501.6034322516,-828132.3358039029,2014,84,731.4492,312.8092,418.65
-860511.9097575675,-828142.7462297564,2014,84,733.0786,313.7386,419.35
-860522.2449870605,-828153.1266261023,2014,84,734.7145,314.6645,420.05
-860532.4371745366,-828163.3404420164,2014,84,736.3355,314.8755,421.47
-860542.6438136426,-828173.5392457905,2014,84,736.7227,315.9627,420.76
-860553.0223980106,-828183.874605986,2014,84,735.879,318.639,417.24
-860563.4298897987,-828194.1799334297,2014,84,736.2927,321.8727,414.42
-860573.7730886332,-828204.3944622722,2014,84,736.7241,323.7041,413.02
-860584.2094881635,-828214.6697611551,2014,84,735.9034,320.7734,415.12
-860594.6747976269,-828224.9150247439,2014,84,736.3406,314.8606,421.47
-860605.1545626632,-828235.1452723336,2014,84,738.0354,314.4554,423.58
-860615.6632394204,-828245.3454828024,2014,84,739.7376,318.2776,421.46
-860626.0288799542,-828255.3791063624,2014,84,740.1752,318.7052,421.47
-860636.4089779581,-828265.3977118357,2014,84,739.3692,316.4992,422.87
-860646.9610272506,-828275.5528681974,2014,84,739.8531,315.5631,424.28
-860657.4632447838,-828285.6021993681,2014,84,741.5829,316.5929,424.99
-860668.0586684365,-828295.7122952607,2014,84,743.3177,318.3277,424.99
-860678.683008761,-828305.79234889,2014,84,745.0566,318.6566,426.39
-860689.3073531314,-828315.8724028658,2014,84,745.5493,316.3393,429.21
-860699.8818688203,-828325.8466282847,2014,84,744.7853,314.1753,430.61
-860710.5640503671,-828335.8665936436,2014,84,745.2846,315.3846,429.9
-860721.246237365,-828345.8865578624,2014,84,747.0375,318.5475,428.49
-860731.7853936577,-828355.7399286979,2014,84,747.5316,320.4416,427.09
-860742.4322179215,-828365.6390372515,2014,84,746.7929,319.0029,427.79
-860753.0003017064,-828375.4623587279,2014,84,747.2855,315.9655,431.32
-860763.7403437991,-828385.4222244178,2014,84,749.0581,315.6281,433.42
-860774.4948509642,-828395.3670641234,2014,84,749.5901,316.8701,432.72
-860785.1850767038,-828405.2210924724,2014,84,748.8825,317.5725,431.32
-860795.9685155358,-828415.1358785246,2014,84,749.4453,318.1253,431.31
-860806.7664209997,-828425.035636903,2014,84,751.2591,318.5391,432.72
-860817.4855875585,-828434.8596063514,2014,84,753.085,319.655,433.42
-860828.2835094453,-828444.7593564581,2014,84,753.6729,320.9529,432.72
-860838.938404395,-828454.4925084013,2014,84,752.9969,320.9769,432.02
-860849.6720550141,-828464.3014406263,2014,84,753.612,320.882,432.72
-860860.4844614266,-828474.1861531103,2014,84,755.4732,321.3332,434.13
-860871.2325888528,-828483.980051293,2014,84,757.3395,321.7895,435.54
-860881.9662651699,-828493.7889698237,2014,84,757.9488,322.4088,435.54
-860892.7931575228,-828503.6586431743,2014,84,757.3192,323.1892,434.13
-860903.5413113328,-828513.4525269115,2014,84,757.9399,323.8099,434.13
-860914.3682214874,-828523.3221904837,2014,84,758.5713,323.7313,434.83
-860925.2738881126,-828533.2676338626,2014,84,757.9687,323.8387,434.13
-860936.0220685628,-828543.0615029478,2014,84,758.5927,324.4627,434.13
-860946.7702578511,-828552.8553671582,2014,84,760.4684,327.0284,433.43
-860957.4397083019,-828562.5734418235,2014,84,761.0807,329.0707,432.01
-860968.1879152243,-828572.3672962963,2014,84,760.4488,326.3188,434.14
-860978.9505924709,-828582.1461189764,2014,84,761.0856,324.8456,436.24
-860989.713278898,-828591.9249364084,2014,84,761.7081,326.1681,435.54
-861000.4759745052,-828601.7037485909,2014,84,761.0718,326.9418,434.12
-861011.2531412896,-828611.4675280417,2014,84,761.6717,327.5517,434.13
-861022.0303175958,-828621.2313018683,2014,84,763.5042,327.2642,436.24
-861032.9007137446,-828631.0558268006,2014,84,765.3163,327.6663,437.66
-861043.6923718175,-828640.8045611278,2014,84,765.864,328.924,436.94
-861054.4985024333,-828650.5382612183,2014,84,765.1115,328.8715,436.24
-861065.3191061007,-828660.2569265052,2014,84,765.5941,328.6541,436.95
-861076.1397203081,-828669.9755850348,2014,84,767.28,328.92,438.36
-861087.0680196603,-828679.7399637108,2014,84,767.6786,329.3286,438.35
-861097.9175820574,-828689.4285503478,2014,84,768.0193,329.6893,438.33
-861108.7671556724,-828699.1171294719,2014,84,769.6312,329.8612,439.77
-861119.7244162813,-828708.8514267827,2014,84,769.8849,330.1349,439.75
-861130.6174043247,-828718.4949017919,2014,84,770.1428,331.0928,439.05
-861141.5104045974,-828728.1383681498,2014,84,771.6064,331.8564,439.75
-861152.496629854,-828737.8425802854,2014,84,773.03510000000006,332.5651,440.47
-861163.4828677899,-828747.5467833392,2014,84,773.1882,333.4282,439.75
-861174.4192988285,-828757.1451323328,2014,84,772.0361,332.9761,439.05
-861185.4344918274,-828766.8192558227,2014,84,772.1094,333.0694,439.05
